[32] pry(main)> clean_data_dir
  KEEP scraped-data/2023-09-21: 118301301
  KEEP scraped-data/2023-09-22: 118403473
  KEEP scraped-data/2023-09-23: 118418368
  KEEP scraped-data/2023-09-24: 118440854
DELETE scraped-data/2023-09-25: 118440854
DELETE scraped-data/2023-09-26: 118440854
  KEEP scraped-data/2023-09-27: 118446327
  KEEP scraped-data/2023-09-28: 118451666
  KEEP scraped-data/2023-09-29: 118452337
  KEEP scraped-data/2023-09-30: 118464177
  KEEP scraped-data/2023-10-01: 118462271
DELETE scraped-data/2023-10-02: 118462271
DELETE scraped-data/2023-10-03: 118462271
  KEEP scraped-data/2023-10-04: 118464267
  KEEP scraped-data/2023-10-05: 118467541
  KEEP scraped-data/2023-10-06: 118475877
  KEEP scraped-data/2023-10-07: 118483538
  KEEP scraped-data/2023-10-08: 118532482
DELETE scraped-data/2023-10-09: 118532482
  KEEP scraped-data/2023-10-20: 120507781
  KEEP scraped-data/2023-10-21: 120713712
  KEEP scraped-data/2023-10-22: 120731017
DELETE scraped-data/2023-10-23: 120731017
DELETE scraped-data/2023-10-24: 120731017
  KEEP scraped-data/2023-10-25: 120737470
  KEEP scraped-data/2023-10-26: 120741466
  KEEP scraped-data/2023-10-27: 120758699
  KEEP scraped-data/2023-10-28: 120771059
  KEEP scraped-data/2023-10-29: 120797217
  KEEP scraped-data/2023-11-27: 121678010
DELETE scraped-data/2023-11-28: 121678010
  KEEP scraped-data/2023-11-29: 121694994
  KEEP scraped-data/2023-11-30: 121707383
  KEEP scraped-data/2023-12-01: 121728609
  KEEP scraped-data/2023-12-02: 121724008
  KEEP scraped-data/2023-12-03: 121734494
DELETE scraped-data/2023-12-04: 121734494
DELETE scraped-data/2023-12-05: 121734494
  KEEP scraped-data/2023-12-06: 121734170
  KEEP scraped-data/2023-12-07: 122145012
  KEEP scraped-data/2023-12-08: 122175322
  KEEP scraped-data/2023-12-09: 122178962
  KEEP scraped-data/2023-12-10: 122184522
  KEEP scraped-data/2023-12-11: 122184517
  KEEP scraped-data/2023-12-12: 122184518
  KEEP scraped-data/2023-12-13: 122183934
  KEEP scraped-data/2023-12-14: 122200902
  KEEP scraped-data/2023-12-15: 122206430
  KEEP scraped-data/2023-12-16: 122230651
  KEEP scraped-data/2023-12-17: 122389444
DELETE scraped-data/2023-12-18: 122389444
DELETE scraped-data/2023-12-19: 122389444
  KEEP scraped-data/2023-12-20: 122702543
  KEEP scraped-data/2023-12-21: 122710719
  KEEP scraped-data/2023-12-22: 122736184
  KEEP scraped-data/2023-12-23: 122750891
  KEEP scraped-data/2023-12-24: 122852006
DELETE scraped-data/2023-12-25: 122852006
  KEEP scraped-data/2023-12-26: 122888766
DELETE scraped-data/2023-12-27: 122888766
DELETE scraped-data/2023-12-28: 122888766
  KEEP scraped-data/2023-12-29: 122000828
  KEEP scraped-data/2023-12-30: 122008244
  KEEP scraped-data/2023-12-31: 122001072
DELETE scraped-data/2024-01-01: 122001072
DELETE scraped-data/2024-01-02: 122001072
DELETE scraped-data/2024-01-03: 122001072
  KEEP scraped-data/2024-01-04: 122004184
  KEEP scraped-data/2024-01-05: 122006520
  KEEP scraped-data/2024-01-06: 122039328
  KEEP scraped-data/2024-01-07: 122041303
  KEEP scraped-data/2024-01-08: 122056007
DELETE scraped-data/2024-01-09: 122056007
  KEEP scraped-data/2024-01-10: 122056390
  KEEP scraped-data/2024-01-11: 122053015
  KEEP scraped-data/2024-01-12: 122053196
  KEEP scraped-data/2024-01-13: 122053921
  KEEP scraped-data/2024-01-14: 122225927
DELETE scraped-data/2024-01-15: 122225927
DELETE scraped-data/2024-01-16: 122225927
DELETE scraped-data/2024-01-17: 122225927
  KEEP scraped-data/2024-01-18: 122225925
DELETE scraped-data/2024-01-19: 122225925
  KEEP scraped-data/2024-01-20: 122249694
DELETE scraped-data/2024-01-21: 122249694
DELETE scraped-data/2024-01-22: 122249694
DELETE scraped-data/2024-01-23: 122249694
  KEEP scraped-data/2024-01-24: 122246513
  KEEP scraped-data/2024-01-25: 122267372
  KEEP scraped-data/2024-01-26: 122289850
  KEEP scraped-data/2024-01-27: 122304049
DELETE scraped-data/2024-01-28: 122304049
DELETE scraped-data/2024-01-29: 122304049
DELETE scraped-data/2024-01-30: 122304049
  KEEP scraped-data/2024-01-31: 122318176
  KEEP scraped-data/2024-02-01: 122334980
  KEEP scraped-data/2024-02-02: 122329409
  KEEP scraped-data/2024-02-03: 122332045
  KEEP scraped-data/2024-02-04: 122333292
DELETE scraped-data/2024-02-05: 122333292
DELETE scraped-data/2024-02-06: 122333292
  KEEP scraped-data/2024-02-07: 122334302
  KEEP scraped-data/2024-02-08: 122336785
  KEEP scraped-data/2024-02-09: 122338109
  KEEP scraped-data/2024-02-10: 122417722
  KEEP scraped-data/2024-02-11: 122418046
  KEEP scraped-data/2024-02-12: 122419999
DELETE scraped-data/2024-02-13: 122419999
  KEEP scraped-data/2024-02-14: 122422510
  KEEP scraped-data/2024-02-15: 122423087
  KEEP scraped-data/2024-02-17: 122536022
  KEEP scraped-data/2024-02-18: 122536741
DELETE scraped-data/2024-02-19: 122536741
DELETE scraped-data/2024-02-20: 122536741
DELETE scraped-data/2024-02-21: 122536741
  KEEP scraped-data/2024-02-22: 122564768
  KEEP scraped-data/2024-02-23: 122565889
  KEEP scraped-data/2024-02-24: 122569186
  KEEP scraped-data/2024-02-25: 122574988
